ean;bron;licentie;url
7613034997661;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613034997661
7613035114746;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114746
7613035114777;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114777
7613035114807;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114807
7613035114838;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114838
7613035114890;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114890
7613035114920;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035114920
7613035120426;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035120426
7613035120440;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035120440
7613035122796;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035122796
7613035123779;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035123779
7613035123809;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035123809
7613035125032;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035125032
7613035153509;Open Pet Food Facts;CC BY-SA 3.0;https://world.openpetfoodfacts.org/product/7613035153509
